# T0015-002 (E3301-SN05 with B1 RFCU) wideband noise power spectra and gain.
# Digitiser datasets=M0_L5_V_Pol_sw_spec_dump_?.csv, digitiser spectrometer output, average of 3
# REF datasets=WBG8GHz_DIG_QTP_Vpol_ND_OFF.csv, spectrum analyser output from same input, with ~413MHz corrected manually.
# Input signal is NoiseWave model NW6G-MI with 13dB attenuation, fed through a 3dB divider to H & V inputs.
# 
# Frequency [Hz],Channel power [dBX],Gain [dB]
108724963.36101612,-45.77782574,17.54652128
109143136.29702003,-45.69901283,17.63370522
109561309.23302394,-45.63866083,17.70242825
109979482.16902784,-45.57319920,17.77626091
110397655.10503174,-45.49235278,17.86547836
110815828.04103565,-45.42593963,17.94026254
111234000.97703956,-45.35976105,18.01481215
111652173.91304347,-45.30292408,18.08002016
112070346.84904738,-45.23709718,18.15421808
112488519.78505129,-45.16760572,18.22858540
112906692.72105519,-45.10608309,18.29141246
113324865.65705910,-45.04913390,18.34966606
113743038.59306301,-44.99277398,18.40733040
114161211.52906692,-44.93155042,18.46985837
114579384.46507083,-44.87399335,18.52871986
114997557.40107474,-44.81926257,18.58475506
115415730.33707865,-44.77287508,18.63244696
115833903.27308255,-44.73358744,18.67303902
116252076.20908646,-44.68858928,18.71934159
116670249.14509037,-44.62164312,18.78759217
117088422.08109428,-44.58114079,18.82939891
117506595.01709819,-44.55020602,18.86163810
117924767.95310210,-44.50322594,18.90992260
118342940.88910601,-44.47382535,18.94062760
118761113.82510991,-44.43861311,18.97714426
119179286.76111382,-44.40891984,19.00814195
119597459.69711773,-44.39365459,19.02471162
120015632.63312164,-44.36920939,19.05046124
120433805.56912555,-44.35598701,19.06498803
120851978.50512946,-44.35562759,19.06665187
121270151.44113337,-44.34655140,19.07703248
121688324.37713727,-44.36012287,19.06476542
122106497.31314118,-44.37837204,19.04782067
122524670.24914509,-44.40960202,19.01789510
122942843.18514900,-44.42304293,19.00575861
123361016.12115291,-44.46918676,18.96091919
123779189.05715682,-44.52596915,18.91037904
124197361.99316072,-44.59260850,18.85083366
124615534.92916463,-44.67719002,18.77334610
125033707.86516854,-44.75500005,18.70263003
125451880.80117245,-44.85247487,18.61224918
125870053.73717636,-44.95979257,18.51202544
126288226.67318027,-45.08148906,18.39742291
126706399.60918418,-45.18662106,18.29938487
127124572.54518807,-45.29439576,18.19870414
127542745.48119198,-45.38913566,18.11105820
127960918.41719589,-45.49066110,18.01662673
128379091.35319979,-45.55282308,17.96155871
128797264.28920370,-45.60325838,17.91821737
129215437.22520761,-45.62076475,17.90780496
129633610.16121152,-45.61770717,17.91795651
130051783.09721543,-45.58815954,17.95459810
130469956.03321934,-45.54340248,18.00644913
130888128.96922325,-45.47088320,18.08606236
131306301.90522715,-45.38802589,18.17601364
131724474.84123106,-45.28193708,18.28919641
132142647.77723497,-45.17645896,18.40176850
132560820.71323888,-45.07665574,18.50866568
132978993.64924279,-44.96421066,18.62820473
133397166.58524670,-44.85441965,18.74508970
133815339.52125061,-44.75371991,18.85288340
134233512.45725453,-44.64820642,18.96549085
134651685.39325842,-44.54139248,19.07515683
135069858.32926235,-44.47136204,19.13219336
135488031.26526624,-44.38264306,19.20791844
135906204.20127013,-44.29833373,19.27923386
136324377.13727406,-44.23638082,19.32819286
136742550.07327795,-44.16698685,19.38459293
137160723.00928187,-44.11223522,19.42635065
137578895.94528577,-44.06832557,19.45726639
137997068.88128969,-44.01333064,19.49926742
138415241.81729358,-43.96028402,19.53932013
138833414.75329751,-43.92080421,19.56580604
139251587.68930140,-43.88323434,19.59038200
139669760.62530532,-43.86143157,19.59919086
140087933.56130922,-43.81325964,19.63436889
140506106.49731314,-43.78373873,19.65089589
140924279.43331704,-43.76152448,19.66011624
141342452.36932096,-43.73472522,19.67392159
141760625.30532485,-43.71504646,19.68060645
142178798.24132878,-43.70117456,19.68148444
142596971.17733267,-43.68202717,19.68763792
143015144.11333659,-43.67054742,19.68612377
143433317.04934049,-43.66580055,19.67787674
143851489.98534441,-43.64528971,19.68539366
144269662.92134830,-43.63101014,19.68667933
144687835.85735223,-43.61641831,19.68827725
145106008.79335612,-43.60736805,19.68433361
145524181.72936004,-43.61089956,19.66780819
145942354.66536394,-43.60981897,19.65920104
146360527.60136786,-43.59451131,19.66732067
146778700.53737175,-43.58718057,19.66746337
147196873.47337568,-43.59072882,19.65672708
147615046.40937957,-43.58707012,19.65319775
148033219.34538350,-43.58738346,19.64569637
148451392.28138739,-43.57677293,19.64911887
148869565.21739131,-43.59716184,19.62154192
149287738.15339521,-43.58418932,19.62732640
149705911.08939913,-43.59572943,19.60859826
150124084.02540302,-43.58500533,19.61213433
150542256.96140695,-43.60148399,19.58846762
150960429.89741084,-43.60410783,19.57865575
151378602.83341476,-43.60253274,19.57304281
151796775.76941866,-43.60446500,19.56392251
152214948.70542258,-43.60724628,19.55395319
152633121.64142647,-43.61485045,19.53916099
153051294.57743037,-43.62564379,19.52117961
153469467.51343429,-43.63408384,19.50555153
153887640.44943818,-43.62744385,19.50500348
154305813.38544211,-43.64221352,19.48304578
154723986.32144600,-43.64491799,19.47315326
155142159.25744992,-43.65425754,19.45662568
155560332.19345382,-43.66289941,19.44079578
155978505.12945774,-43.66211729,19.43438986
156396678.06546164,-43.67100788,19.41831124
156814851.00146556,-43.66913999,19.41299109
157233023.93746945,-43.68409611,19.39503704
157651196.87347338,-43.69077219,19.38568941
158069369.80947727,-43.69367557,19.38011448
158487542.74548119,-43.70147226,19.36964624
158905715.68148509,-43.70837165,19.36007531
159323888.61748901,-43.70798534,19.35779007
159742061.55349290,-43.71501455,19.34808931
160160234.48949683,-43.73904309,19.32138922
160578407.42550072,-43.73057323,19.32718753
160996580.36150464,-43.74907325,19.30601596
161414753.29750854,-43.75377744,19.29864023
161832926.23351246,-43.76228671,19.28745941
162251099.16951635,-43.76192152,19.28515305
162669272.10552028,-43.78253884,19.26186419
163087445.04152417,-43.77974233,19.26198914
163505617.97752810,-43.79396048,19.24509945
163923790.91353199,-43.78572607,19.25066231
164341963.84953591,-43.79869396,19.23502287
164760136.78553981,-43.81248836,19.21855692
165178309.72154373,-43.79872246,19.22965128
165596482.65754762,-43.81061199,19.21509020
166014655.59355155,-43.80910681,19.21392383
166432828.52955544,-43.82398124,19.19637786
166851001.46555936,-43.83206794,19.18561961
167269174.40156326,-43.83367464,19.18134136
167687347.33756718,-43.84596392,19.16638053
168105520.27357107,-43.85072287,19.15732697
168523693.20957500,-43.84426094,19.15544263
168941866.14557889,-43.83981753,19.15153978
169360039.08158278,-43.86017967,19.12283139
169778212.01758671,-43.85462508,19.12003971
170196384.95359060,-43.84831145,19.11800708
170614557.88959453,-43.86368251,19.09428977
171032730.82559842,-43.86393507,19.08569094
171450903.76160234,-43.86639673,19.07488302
171869076.69760624,-43.87301151,19.05992198
172287249.63361016,-43.88052063,19.04406660
172705422.56961405,-43.87206422,19.04417676
173123595.50561798,-43.88135182,19.02654289
173541768.44162187,-43.87837210,19.02117636
173959941.37762579,-43.87905513,19.01214706
174378114.31362969,-43.87461207,19.00824386
174796287.24963361,-43.87349434,19.00101533
175214460.18563750,-43.86917061,18.99699280
175632633.12164143,-43.86013069,18.99768646
176050806.05764532,-43.86672422,18.98274667
176468978.99364924,-43.85914116,18.98198347
176887151.92965314,-43.84585352,18.98692485
177305324.86565706,-43.84673475,18.97769736
177723497.80166095,-43.85842153,18.95766432
178141670.73766488,-43.83912528,18.96861431
178559843.67366877,-43.83865899,18.96073434
178978016.60967270,-43.83824954,18.95279753
179396189.54567659,-43.81982732,18.97081021
179814362.48168051,-43.82123130,18.97337833
180232535.41768441,-43.80643045,18.99215127
180650708.35368833,-43.80152316,19.00103067
181068881.28969222,-43.79449625,19.01202967
181487054.22569615,-43.77929299,19.03120503
181905227.16170004,-43.76853797,19.04593215
182323400.09770396,-43.76202059,19.05642163
182741573.03370786,-43.74737670,19.07503762
183159745.96971178,-43.73330239,19.09308403
183577918.90571567,-43.73354157,19.09681694
183996091.84171960,-43.72058712,19.11374350
184414264.77772349,-43.70862567,19.12967705
184832437.71372741,-43.69531466,19.14696015
185250610.64973131,-43.67678889,19.16945802
185668783.58573523,-43.66390918,19.18630982
186086956.52173913,-43.64087599,19.21331512
186505129.45774302,-43.63496143,19.22320177
186923302.39374694,-43.61705183,19.24508347
187341475.32975084,-43.59056368,19.27554372
187759648.26575476,-43.58107638,19.28900312
188177821.20175865,-43.55479189,19.31925971
188595994.13776258,-43.53607082,19.34195287
189014167.07376647,-43.50640954,19.37558625
189432340.00977039,-43.49042715,19.39554074
189850512.94577429,-43.45882558,19.43111441
190268685.88177821,-43.44794007,19.44596853
190686858.81778210,-43.41260604,19.48392528
191105031.75378603,-43.40042862,19.49872542
191523204.68978992,-43.36373122,19.53804554
191941377.62579384,-43.34351454,19.56088494
192359550.56179774,-43.31681916,19.59020305
192777723.49780166,-43.29276236,19.61688257
193195896.43380556,-43.26402453,19.64824312
193614069.36980948,-43.23765338,19.67723699
194032242.30581337,-43.23344886,19.68406424
194450415.24181730,-43.19704353,19.72309229
194868588.17782119,-43.16515409,19.75760444
