# T0015-002 (E3301-SN05 with B1 RFCU) wideband noise power spectra and gain.
# Digitiser datasets=M0_L5_H_Pol_sw_spec_dump_?.csv, digitiser spectrometer output, average of 3
# REF datasets=WBG8GHz_DIG_QTP_Hpol_ND_OFF.csv, spectrum analyser output from same input. 3
# Input signal is NoiseWave model NW6G-MI with 13dB attenuation, fed through a 3dB divider to H & V inputs.
# 
# Frequency [Hz],Channel power [dBX],Gain [dB]
121270151.44113337,-48.01232479,15.18812853
121688324.37713727,-48.05040237,15.14539987
122106497.31314118,-48.07592240,15.11522876
122524670.24914509,-48.13729830,15.04920178
122942843.18514900,-48.19173878,14.99011022
123361016.12115291,-48.25896255,14.91823536
123779189.05715682,-48.34654909,14.83727777
124197361.99316072,-48.43825661,14.75414490
124615534.92916463,-48.53584430,14.66513185
125033707.86516854,-48.63641328,14.57313751
125451880.80117245,-48.71730902,14.50081640
125870053.73717636,-48.80424323,14.42245683
126288226.67318027,-48.85728502,14.37798969
126706399.60918418,-48.90728191,14.33656744
127124572.54518807,-48.93685602,14.31556797
127542745.48119198,-48.94659938,14.31439925
127960918.41719589,-48.93107953,14.33849374
128379091.35319979,-48.90163460,14.37651331
128797264.28920370,-48.86993834,14.41678420
129215437.22520761,-48.79639874,14.49889845
129633610.16121152,-48.72832909,14.57554274
130051783.09721543,-48.63968347,14.67276300
130469956.03321934,-48.55965506,14.76136605
130888128.96922325,-48.46119746,14.86839829
131306301.90522715,-48.35071485,14.98745554
131724474.84123106,-48.24659665,15.10014838
132142647.77723497,-48.14489776,15.21042191
132560820.71323888,-48.04962550,15.31426881
132978993.64924279,-47.93445975,15.43800920
133397166.58524670,-47.83460433,15.54643926
133815339.52125061,-47.74709076,15.64252748
134233512.45725453,-47.65485476,15.74333812
134651685.39325842,-47.56063081,15.84257899
135069858.32926235,-47.48409653,15.91084017
135488031.26526624,-47.41540569,15.97125792
135906204.20127013,-47.33514023,16.04325029
136324377.13727406,-47.27460763,16.09550980
136742550.07327795,-47.21147788,16.15036645
137160723.00928187,-47.14489703,16.20867421
137578895.94528577,-47.10301309,16.24228506
137997068.88128969,-47.04814634,16.28887872
138415241.81729358,-47.00530986,16.32344210
138833414.75329751,-46.96565163,16.35482724
139251587.68930140,-46.91030349,16.40190228
139669760.62530532,-46.88517491,16.41875778
140087933.56130922,-46.84679893,16.44886067
140506106.49731314,-46.81792446,16.46946204
140924279.43331704,-46.77935728,16.49975613
141342452.36932096,-46.76838988,16.50245044
141760625.30532485,-46.73888202,16.52368520
142178798.24132878,-46.71732943,16.53696470
142596971.17733267,-46.68362440,16.56239664
143015144.11333659,-46.66888347,16.56886448
143433317.04934049,-46.65790754,16.57156731
143851489.98534441,-46.64538014,16.57582162
144269662.92134830,-46.63379778,16.57913089
144687835.85735223,-46.60883903,16.59581654
145106008.79335612,-46.60394640,16.59243608
145524181.72936004,-46.59475253,16.59335686
145942354.66536394,-46.58085548,16.60013742
146360527.60136786,-46.56098136,16.61376952
146778700.53737175,-46.56046917,16.60803971
147196873.47337568,-46.56037570,16.60189116
147615046.40937957,-46.54630044,16.60972441
148033219.34538350,-46.54380617,16.60597668
148451392.28138739,-46.53695530,16.60658553
148869565.21739131,-46.53321266,16.60408616
149287738.15339521,-46.53075419,16.60030261
149705911.08939913,-46.52144222,16.60337257
150124084.02540302,-46.52812280,16.59044998
150542256.96140695,-46.51372580,16.59860497
150960429.89741084,-46.52258382,16.58350494
151378602.83341476,-46.51698947,16.58285728
151796775.76941866,-46.50691551,16.58668922
152214948.70542258,-46.50770809,16.57965463
152633121.64142647,-46.50068598,16.58043473
153051294.57743037,-46.50943319,16.56544551
153469467.51343429,-46.51591227,16.55272441
153887640.44943818,-46.50513036,16.55726431
154305813.38544211,-46.50770482,16.54844785
154723986.32144600,-46.50421652,16.54569413
155142159.25744992,-46.50540151,16.53826713
155560332.19345382,-46.50677921,16.53064742
155978505.12945774,-46.51041582,16.52076880
156396678.06546164,-46.50042503,16.52451758
156814851.00146556,-46.49343554,16.52526505
157233023.93746945,-46.50893255,16.50252416
157651196.87347338,-46.50273044,16.50140436
158069369.80947727,-46.50243569,16.49437720
158487542.74548119,-46.50613120,16.48335977
158905715.68148509,-46.51268480,16.46948427
159323888.61748901,-46.49838870,16.47645844
159742061.55349290,-46.50153401,16.46599123
160160234.48949683,-46.50388181,16.45632151
160578407.42550072,-46.50397260,16.44890881
160996580.36150464,-46.50934185,16.43621764
161414753.29750854,-46.49391817,16.44431941
161832926.23351246,-46.49203424,16.43888143
162251099.16951635,-46.48853099,16.43506276
162669272.10552028,-46.49627633,16.41999551
163087445.04152417,-46.48725615,16.42169377
163505617.97752810,-46.48887418,16.41275383
163923790.91353199,-46.47607109,16.41823501
164341963.84953591,-46.48641336,16.40057083
164760136.78553981,-46.46758497,16.41207730
165178309.72154373,-46.47087808,16.40146227
165596482.65754762,-46.47468216,16.39033628
166014655.59355155,-46.46357950,16.39411702
166432828.52955544,-46.46090540,16.38946922
166851001.46555936,-46.46903565,16.37401705
167269174.40156326,-46.44467343,16.39105735
167687347.33756718,-46.43864466,16.38976421
168105520.27357107,-46.43854851,16.38283605
168523693.20957500,-46.42077564,16.39432754
168941866.14557889,-46.43058949,16.37823230
169360039.08158278,-46.41273916,16.38980125
169778212.01758671,-46.40543947,16.39081955
170196384.95359060,-46.38417513,16.40580249
170614557.88959453,-46.38455345,16.39914279
171032730.82559842,-46.36451231,16.41290254
171450903.76160234,-46.36086381,16.41026965
171869076.69760624,-46.33916817,16.42568391
172287249.63361016,-46.34225496,16.41631573
172705422.56961405,-46.32598870,16.42630060
173123595.50561798,-46.31380529,16.43220262
173541768.44162187,-46.30702994,16.43269659
173959941.37762579,-46.28199998,16.45144516
174378114.31362969,-46.25824063,16.46892312
174796287.24963361,-46.26353831,16.45734405
175214460.18563750,-46.23712966,16.47747131
175632633.12164143,-46.20713001,16.50118957
176050806.05764532,-46.20889251,16.49314569
176468978.99364924,-46.18510282,16.51065399
176887151.92965314,-46.16475119,16.52472423
177305324.86565706,-46.13059532,16.55259872
177723497.80166095,-46.12649118,16.55042147
178141670.73766488,-46.10982480,16.56080646
178559843.67366877,-46.07897351,16.58537636
178978016.60967270,-46.06819425,16.58987424
179396189.54567659,-46.04310530,16.61763387
179814362.48168051,-46.01526674,16.65308530
180232535.41768441,-45.98665393,16.68931097
180650708.35368833,-45.96823478,16.71534299
181068881.28969222,-45.95560239,16.73558824
181487054.22569615,-45.92054153,16.77826197
181905227.16170004,-45.89693285,16.80948352
182323400.09770396,-45.86434627,16.84968297
182741573.03370786,-45.84808307,16.87355903
183159745.96971178,-45.80783269,16.92142227
183577918.90571567,-45.78713830,16.94972953
183996091.84171960,-45.75070809,16.99377261
184414264.77772349,-45.72239186,17.02970170
184832437.71372741,-45.69036352,17.06934291
185250610.64973131,-45.66032911,17.10699019
185668783.58573523,-45.62395032,17.15098184
186086956.52173913,-45.60066878,17.18187625
186505129.45774302,-45.56200911,17.22814879
186923302.39374694,-45.52445487,17.27331589
187341475.32975084,-45.50066303,17.30472060
187759648.26575476,-45.45591039,17.35708611
188177821.20175865,-45.41635668,17.40425268
188595994.13776258,-45.38517847,17.44304375
189014167.07376647,-45.34779857,17.48803652
189432340.00977039,-45.31379183,17.52965612
189850512.94577429,-45.26458865,17.58647218
190268685.88177821,-45.22769229,17.63096712
190686858.81778210,-45.19337116,17.66737675
191105031.75378603,-45.15010503,17.71273139
191523204.68978992,-45.11245629,17.75246862
191941377.62579384,-45.07320042,17.79381299
192359550.56179774,-45.02051513,17.84858678
192777723.49780166,-44.99005516,17.88113525
193195896.43380556,-44.95203455,17.92124435
193614069.36980948,-44.90763966,17.96772774
194032242.30581337,-44.86182212,18.01563378
194450415.24181730,-44.82222534,18.05731905
194868588.17782119,-44.78538213,18.09625076
195286761.11382511,-44.74340464,18.14031676
195704934.04982901,-44.69792716,18.18788273
196123106.98583293,-44.65200340,18.23589499
196541279.92183682,-44.61259142,18.27739546
196959452.85784075,-44.57290374,18.31917165
197377625.79384464,-44.53242716,18.36173672
197795798.72984856,-44.50406001,18.39219238
198213971.66585246,-44.45626067,18.44208021
198632144.60185638,-44.40954353,18.49088585
199050317.53786027,-44.37586125,18.52665663
199468490.47386420,-44.33146906,18.57313731
199886663.40986809,-44.28950910,18.61718578
200304836.34587201,-44.24722628,18.66155709
200723009.28187591,-44.21354730,18.69732456
201141182.21787983,-44.16965076,18.74330960
201559355.15388373,-44.13759457,18.78268853
201977528.08988765,-44.09138885,18.84548740
202395701.02589154,-44.05432633,18.89914307
202813873.96189547,-44.01871222,18.95135034
