# https://docs.google.com/document/d/1KuUgt05_h7IhXeArFLno2KMq7XKO943JaA1TpT7gHpA
# Entries collected from gaincal_l_5jy.csv, sources_pnt_Ku.csv, sources_all.csv, some coordinates updated from SIMBAD, INAF = Table 3 of "A First Extended Catalogue of Pointing/Focus Calibrators for the Sardinia Radio Telescope"
# ID       |  Name(s),                                        tag,   RA(J2000),     dec(J2000,)   flux polynomial,                                               unc[arcsec] source,             Gal l,  Gal b,~1400MHz flx,redshift,NED Object type     IRAS/X-ray  s-dish comment

# Numbers in comments below from <katselib.plot_scans(katdal.open(...), target_plane=True, ants=["m028"], pols=["HH"], chans=(500,4000))>

#J1615-6054 | PKS 1610-60 | ESO 137-G006,                     radec, 16:15:03.85,  -60:54:26.1,  (750.0 12000.0 0.08319 2.14 -0.5243),                           1.25x1.25  2Mass,              325.29,  -7.21,     43 Jy,  v=5480,  cD                                no   ~8'; strong inner lobes; in A3627         

# 17082021 11.7GHz: garbage,garbage,garbage,garbage,garbage
#J1651+0459 | Her A | Hercules A | 3C 348 | PKS 1648+05,      radec, 16:51:08.02,  +04:59:34.9,  (1408.0 10550.0 3.852 -0.361 -0.1053),                          1.25x1.25  2Mass,               23.05,  28.95,     48 Jy,  z=0.15,  i.a. E/S0 pair; NLRG   X          no   ~5'; FRI/FRII                     

# 17082021 11.7GHz: 0.3,0,1.2,0.9,1.0,1.0,1.0,1.0,1.1
J1720-0058 | 3C 353 | PKS 1717-00,                           radec, 17:20:28.15,  -00:58:47.1,  (1408.0 10550.0 3.148 -0.157 -0.0911),                          1.25x1.25  2Mass,               21.20,  19.65,     56 Jy,  v=9120,  S0; NLRG                          no   ~5'; FRII               

# 21082021 11.7GHz: 0.2,0.2,0.2,0.1,0.1,0.1,0.15,0.2 [NO]
#J1819-6345 | PKS 1814-637, radec gaincal, 18:19:35.002381, -63:45:48.18906

# 05112021 11.7GHz: Doesn't look good in GSM, but worked on MeerKAT-Ku [DESPERATE]
PKS 1830-210, radec gaincal, 18:33:39.9150, -21:03:40.050,,,,,,,

# 082021 11.7GHz: 0.4,1.0,0.9,0.9,0.9,0.7,0.7,indistinct [DESPERATE]
PKS J1924-2914,radec,19:24:51.1,-29:14:30.121,,11.491,720,INAF IRA 496/478

# 082021 11.7GHz: 0,0,0,indistinct,0.05,0.05,0.05
#J193244-453640 | ATPMN J193244.8-453637,radec,19: 32: 44.89,-45: 36: 37.4,,CRATES

